codmes,Tasas_interes_fondeo,tasa_interes_act,ind_prec_inm,ind_prec_med,ind_prec_alt,ind_prec_12_distr,ind_prec_cons_lima_met_alim_ener,prod_ener_lima,imp_bienes_cons_durarero,ind_coyunt_ener,ind_coyunt_ener_sin_mina,ind_coyun_cons_cement,var_porc_demanda_interna,var_porc_PBI,var_porc_PBI_const,ind_prec_inf_suby_bienes,imp_mater_const,ind_preci_import,exp_PBI,tip_camb_banc_venta,ind_tipo_camb_var_mes
ene-19,20.1,14.3,107.42,5177.180,6409.186943,6122.602011,87.60285957,2049.462642,209.1836717,4497.077296,3452.52155,1.080196815,1.046441795,1.710583076,-0.5267860368,0.08086228706,106.55152,81.85797668,0.04,3.345363636,-0.4748666477
feb-19,20.8,14.4,107.42,5177.180,6409.186943,6122.602011,87.71541381,1726.545192,186.2657742,4140.241499,3208.46177,0.4085897784,1.223699395,2.120940789,0.361736574,0.1591692329,97.058289,81.72294658,0.04,3.3231,-0.3759537139
mar-19,21.0,14.5,107.42,5177.180,6409.186943,6122.602011,88.05268108,2034.954853,192.7865404,4589.857191,3511.381444,5.404689598,2.913956474,3.427154557,5.986706863,0.2917110164,104.864049,82.13704182,0.04,3.306238095,-0.6667496761
abr-19,20.6,14.5,108.53,5302.084,6536.898515,6250.103977,88.39199543,1752.065192,189.0892895,4344.942728,3297.230324,2.339100594,-0.5771326963,0.02749494646,8.935791509,0.04327871168,113.688528,82.44498716,0.04,3.3056,0.302486408
may-19,20.9,14.5,108.53,5302.084,6536.898515,6250.103977,88.52819226,2032.293248,204.7431091,4485.253231,3361.548175,4.366550892,2.373555737,0.7164338515,-0.5098019399,0.1130178661,102.246065,82.68814871,0.038,3.334181818,0.9295346818
jun-19,20.7,14.6,108.53,5302.084,6536.898515,6250.103977,88.33831627,2363.73412,204.7067707,4289.358101,3202.490657,11.6427533,3.866708184,2.814877936,13.14654588,0.07712318511,104.256397,82.63537295,0.037,3.32745,-0.09540353926
jul-19,19.7,14.5,108.26,5349.492,6477.879066,6217.572422,88.60179195,2542.692739,205.9036279,4397.960904,3303.469459,11.12845867,3.789904952,3.912188777,0.3323941669,0.2765253344,125.363399,82.54990425,0.035,3.292095238,-1.101311075
ago-19,20.2,14.4,108.26,5349.492,6477.879066,6217.572422,88.57327084,2696.880196,224.8636357,4401.597342,3304.719632,7.420470867,4.42764898,3.697634563,4.877876659,0.1966556915,127.210428,82.94756787,0.0325,3.37932,2.586955963
sept-19,19.8,14.4,108.26,5349.492,6477.879066,6217.572422,88.57898364,2628.889065,213.1141647,4269.940582,3259.301346,5.027072707,3.472663608,2.489749535,4.677094702,0.1193687715,100.388061,82.75659613,0.031,3.359142857,-0.5266226131
oct-19,18.5,14.2,105.74,5310.434,6452.784806,6188.91367,88.55445775,2514.341321,225.3189843,4482.570603,3407.468266,6.486572067,1.026248455,2.678190677,1.967400972,0.07578338473,107.722239,82.79723024,0.03,3.36152381,0.189474214
nov-19,18.4,14.2,105.74,5310.434,6452.784806,6188.91367,88.72404094,2153.961908,208.0386213,4397.727034,3359.62469,0.8045140108,2.977231408,2.26706395,-3.400307648,0.06190089893,110.110388,82.77093184,0.03,3.3737,0.1923910221
dic-19,18.7,14.1,105.74,5310.434,6452.784806,6188.91367,88.78712694,1922.765592,211.7814639,4591.223246,3491.543197,-0.3654255391,0.4091492384,1.153884148,-10.11722973,0.03872930857,104.591729,82.62716399,0.0315,3.357380952,-0.7930013341
