codmes;JM_Venta_zona_1;JM_Venta_zona_2;JM_Venta_zona_3;JM_Venta_total;M_Venta_zona_1;M_Venta_zona_2;M_Venta_zona_3;M_Venta_total;M_precio_oferta_zon1;M_precio_oferta_zon2;M_precio_oferta_zon3;M_precio_oferta_total;M_precio_venta_zon1;M_precio_venta_zon2;M_precio_venta_zon3;M_precio_venta_total;flg_feia
Ene-21;62;61;23;146;18;54;11;83;10434.1;8810.9;8232;8838.5;9544.2;8284.8;7571.3;8463.4;0
Feb-21;54;60;14;128;12;65;13;90;10684.6;8956.9;8247.3;8952.3;8892.6;8233.9;7707.9;8245.7;0
Mar-21;74;49;34;157;25;80;17;122;10946.1;9140.8;8324.5;9107;10092.3;8369.1;8004.7;8671.5;1
Abr-21;48;38;13;99;18;49;11;78;11016.7;9208.9;8346.5;9190;10288.3;8594.8;7718.2;8862;0
May-21;57;50;25;132;3;38;21;62;10957.5;9118.8;8366.3;9140.7;9482.5;8270.4;7331.8;8011.2;0
Jun-21;34;53;23;110;7;27;15;49;11193.8;9319.7;8411.3;9314.7;11391;8420.2;7461.2;8551;0
Jul-21;46;61;34;141;6;43;18;67;11469.1;9470;8536.9;9452.2;10262.7;8499.1;7754.3;8457;1
Ago-21;57;72;46;175;14;52;14;80;11254.6;9399.5;8437.7;9337.2;9429.9;8359.1;7762.9;8442.1;0
sept-21;72;65;30;167;6;71;19;96;11300.8;9422.2;8471.8;9367.8;10665.5;8447.8;7657.3;8429.9;1
Oct-21;58;73;40;171;12;74;17;103;11106.3;9328.8;8433.9;9276.6;9602.4;8084.5;7687.9;8195.9;0
Nov-21;68;90;30;188;13;74;35;122;11163.3;9410.4;8548.1;9329.1;10577.4;8170.7;8136.4;8417.3;0
Dic-21;54;80;24;158;10;93;35;138;11072.6;9343.9;8527.3;9274.9;10399.2;8202.1;7975.1;8303.7;1
Ene-22;67;64;25;156;15;68;22;105;10797.5;9205.8;8555.1;9168.5;9475.5;8110.5;8097.4;8302.8;0
Feb-22;45;60;25;130;26;86;24;136;10653.9;9141.4;8345;8988;10481;8256.7;7981.3;8633.3;0
Mar-22;65;68;33;166;14;120;31;165;10619.5;9159.1;8386.1;9004.9;9723.5;8333;7824.1;8355.4;1
Abr-22;49;47;41;137;13;68;33;114;10876.3;9285.3;8427.6;9102.8;9945.6;8443;8233;8553.5;0
May-22;38;52;38;128;;;;;;;;;;;;;
Jun-22;;;;;;;;;;;;;;;;;
Jul-22;;;;;;;;;;;;;;;;;
Ago-22;;;;;;;;;;;;;;;;;
Sept-22;;;;;;;;;;;;;;;;;
Oct-22;;;;;;;;;;;;;;;;;
Nov-22;;;;;;;;;;;;;;;;;
Dic-22;;;;;;;;;;;;;;;;;
